topology,condition,metric,matched,available,better,tie,worse,mean_papc_minus_ifc,task_instance_clusters,descriptive_cluster_interval
overall,overall,success,0,0,0,0,0,,0,
overall,overall,privacy_safe_success,0,0,0,0,0,,0,
overall,overall,delivered_exact_secret_exposure,0,0,0,0,0,,0,
overall,overall,delivered_reconstructable_secret_exposure,0,0,0,0,0,,0,
overall,overall,pre_mediation_generated_exact_secret_attempts,0,0,0,0,0,,0,
overall,overall,pre_mediation_generated_reconstructable_secret_attempts,0,0,0,0,0,,0,
overall,overall,unauthorized_recipient_pairs,0,0,0,0,0,,0,
overall,overall,forbidden_channel_secret_events,0,0,0,0,0,,0,
overall,overall,intervention_count,0,0,0,0,0,,0,
overall,overall,blocks,0,0,0,0,0,,0,
overall,overall,safe_view_rewrites,0,0,0,0,0,,0,
overall,overall,quarantines,0,0,0,0,0,,0,
overall,overall,parsed_action_pre_mediation_exact_secret_attempts,0,0,0,0,0,,0,
overall,overall,parsed_action_pre_mediation_reconstructable_secret_attempts,0,0,0,0,0,,0,
overall,clean,success,0,0,0,0,0,,0,
overall,clean,privacy_safe_success,0,0,0,0,0,,0,
overall,clean,delivered_exact_secret_exposure,0,0,0,0,0,,0,
overall,clean,delivered_reconstructable_secret_exposure,0,0,0,0,0,,0,
overall,clean,pre_mediation_generated_exact_secret_attempts,0,0,0,0,0,,0,
overall,clean,pre_mediation_generated_reconstructable_secret_attempts,0,0,0,0,0,,0,
overall,clean,unauthorized_recipient_pairs,0,0,0,0,0,,0,
overall,clean,forbidden_channel_secret_events,0,0,0,0,0,,0,
overall,clean,intervention_count,0,0,0,0,0,,0,
overall,clean,blocks,0,0,0,0,0,,0,
overall,clean,safe_view_rewrites,0,0,0,0,0,,0,
overall,clean,quarantines,0,0,0,0,0,,0,
overall,clean,parsed_action_pre_mediation_exact_secret_attempts,0,0,0,0,0,,0,
overall,clean,parsed_action_pre_mediation_reconstructable_secret_attempts,0,0,0,0,0,,0,
overall,registered_semantic_request,success,0,0,0,0,0,,0,
overall,registered_semantic_request,privacy_safe_success,0,0,0,0,0,,0,
overall,registered_semantic_request,delivered_exact_secret_exposure,0,0,0,0,0,,0,
overall,registered_semantic_request,delivered_reconstructable_secret_exposure,0,0,0,0,0,,0,
overall,registered_semantic_request,pre_mediation_generated_exact_secret_attempts,0,0,0,0,0,,0,
overall,registered_semantic_request,pre_mediation_generated_reconstructable_secret_attempts,0,0,0,0,0,,0,
overall,registered_semantic_request,unauthorized_recipient_pairs,0,0,0,0,0,,0,
overall,registered_semantic_request,forbidden_channel_secret_events,0,0,0,0,0,,0,
overall,registered_semantic_request,intervention_count,0,0,0,0,0,,0,
overall,registered_semantic_request,blocks,0,0,0,0,0,,0,
overall,registered_semantic_request,safe_view_rewrites,0,0,0,0,0,,0,
overall,registered_semantic_request,quarantines,0,0,0,0,0,,0,
overall,registered_semantic_request,parsed_action_pre_mediation_exact_secret_attempts,0,0,0,0,0,,0,
overall,registered_semantic_request,parsed_action_pre_mediation_reconstructable_secret_attempts,0,0,0,0,0,,0,
overall,novel_paraphrase_request,success,0,0,0,0,0,,0,
overall,novel_paraphrase_request,privacy_safe_success,0,0,0,0,0,,0,
overall,novel_paraphrase_request,delivered_exact_secret_exposure,0,0,0,0,0,,0,
overall,novel_paraphrase_request,delivered_reconstructable_secret_exposure,0,0,0,0,0,,0,
overall,novel_paraphrase_request,pre_mediation_generated_exact_secret_attempts,0,0,0,0,0,,0,
overall,novel_paraphrase_request,pre_mediation_generated_reconstructable_secret_attempts,0,0,0,0,0,,0,
overall,novel_paraphrase_request,unauthorized_recipient_pairs,0,0,0,0,0,,0,
overall,novel_paraphrase_request,forbidden_channel_secret_events,0,0,0,0,0,,0,
overall,novel_paraphrase_request,intervention_count,0,0,0,0,0,,0,
overall,novel_paraphrase_request,blocks,0,0,0,0,0,,0,
overall,novel_paraphrase_request,safe_view_rewrites,0,0,0,0,0,,0,
overall,novel_paraphrase_request,quarantines,0,0,0,0,0,,0,
overall,novel_paraphrase_request,parsed_action_pre_mediation_exact_secret_attempts,0,0,0,0,0,,0,
overall,novel_paraphrase_request,parsed_action_pre_mediation_reconstructable_secret_attempts,0,0,0,0,0,,0,
blackboard_4,overall,success,0,0,0,0,0,,0,
blackboard_4,overall,privacy_safe_success,0,0,0,0,0,,0,
blackboard_4,overall,delivered_exact_secret_exposure,0,0,0,0,0,,0,
blackboard_4,overall,delivered_reconstructable_secret_exposure,0,0,0,0,0,,0,
blackboard_4,overall,pre_mediation_generated_exact_secret_attempts,0,0,0,0,0,,0,
blackboard_4,overall,pre_mediation_generated_reconstructable_secret_attempts,0,0,0,0,0,,0,
blackboard_4,overall,unauthorized_recipient_pairs,0,0,0,0,0,,0,
blackboard_4,overall,forbidden_channel_secret_events,0,0,0,0,0,,0,
blackboard_4,overall,intervention_count,0,0,0,0,0,,0,
blackboard_4,overall,blocks,0,0,0,0,0,,0,
blackboard_4,overall,safe_view_rewrites,0,0,0,0,0,,0,
blackboard_4,overall,quarantines,0,0,0,0,0,,0,
blackboard_4,overall,parsed_action_pre_mediation_exact_secret_attempts,0,0,0,0,0,,0,
blackboard_4,overall,parsed_action_pre_mediation_reconstructable_secret_attempts,0,0,0,0,0,,0,
blackboard_4,clean,success,0,0,0,0,0,,0,
blackboard_4,clean,privacy_safe_success,0,0,0,0,0,,0,
blackboard_4,clean,delivered_exact_secret_exposure,0,0,0,0,0,,0,
blackboard_4,clean,delivered_reconstructable_secret_exposure,0,0,0,0,0,,0,
blackboard_4,clean,pre_mediation_generated_exact_secret_attempts,0,0,0,0,0,,0,
blackboard_4,clean,pre_mediation_generated_reconstructable_secret_attempts,0,0,0,0,0,,0,
blackboard_4,clean,unauthorized_recipient_pairs,0,0,0,0,0,,0,
blackboard_4,clean,forbidden_channel_secret_events,0,0,0,0,0,,0,
blackboard_4,clean,intervention_count,0,0,0,0,0,,0,
blackboard_4,clean,blocks,0,0,0,0,0,,0,
blackboard_4,clean,safe_view_rewrites,0,0,0,0,0,,0,
blackboard_4,clean,quarantines,0,0,0,0,0,,0,
blackboard_4,clean,parsed_action_pre_mediation_exact_secret_attempts,0,0,0,0,0,,0,
blackboard_4,clean,parsed_action_pre_mediation_reconstructable_secret_attempts,0,0,0,0,0,,0,
blackboard_4,registered_semantic_request,success,0,0,0,0,0,,0,
blackboard_4,registered_semantic_request,privacy_safe_success,0,0,0,0,0,,0,
blackboard_4,registered_semantic_request,delivered_exact_secret_exposure,0,0,0,0,0,,0,
blackboard_4,registered_semantic_request,delivered_reconstructable_secret_exposure,0,0,0,0,0,,0,
blackboard_4,registered_semantic_request,pre_mediation_generated_exact_secret_attempts,0,0,0,0,0,,0,
blackboard_4,registered_semantic_request,pre_mediation_generated_reconstructable_secret_attempts,0,0,0,0,0,,0,
blackboard_4,registered_semantic_request,unauthorized_recipient_pairs,0,0,0,0,0,,0,
blackboard_4,registered_semantic_request,forbidden_channel_secret_events,0,0,0,0,0,,0,
