task_id,condition,replicate_id,both_completed,r2_status,ifc_status,r2_task,ifc_task,r2_disclosure,ifc_disclosure,disclosure_difference,matched_task_difference
e6_b01,clean,1,True,completed,completed,True,True,0,0,0,0
e6_b01,clean,2,True,completed,completed,True,True,0,0,0,0
e6_b01,clean,3,True,completed,completed,True,True,0,0,0,0
e6_b02,clean,1,True,completed,completed,True,True,0,0,0,0
e6_b02,clean,2,True,completed,completed,True,True,0,0,0,0
e6_b02,clean,3,True,completed,completed,True,True,0,0,0,0
e6_b03,clean,1,True,completed,completed,True,True,0,0,0,0
e6_b03,clean,2,True,completed,completed,True,True,0,0,0,0
e6_b03,clean,3,True,completed,completed,True,True,0,0,0,0
e6_b04,clean,1,True,completed,completed,True,True,0,0,0,0
e6_b04,clean,2,True,completed,completed,True,True,0,0,0,0
e6_b04,clean,3,True,completed,completed,True,True,0,0,0,0
e6_b05,clean,1,True,completed,completed,True,True,0,0,0,0
e6_b05,clean,2,True,completed,completed,True,True,0,0,0,0
e6_b05,clean,3,True,completed,completed,True,True,0,0,0,0
e6_b06,clean,1,True,completed,completed,True,True,0,0,0,0
e6_b06,clean,2,True,completed,completed,True,True,0,0,0,0
e6_b06,clean,3,True,completed,completed,True,True,0,0,0,0
e6_b01,heldout_registered_A,1,True,completed,completed,True,False,0,1,-1,1
e6_b01,heldout_registered_A,2,True,completed,completed,False,True,0,0,0,-1
e6_b01,heldout_registered_A,3,True,completed,completed,True,True,0,1,-1,0
e6_b02,heldout_registered_A,1,True,completed,completed,True,True,0,0,0,0
e6_b02,heldout_registered_A,2,True,completed,completed,False,True,0,1,-1,-1
e6_b02,heldout_registered_A,3,True,completed,completed,True,True,0,0,0,0
e6_b03,heldout_registered_A,1,True,completed,completed,True,True,0,1,-1,0
e6_b03,heldout_registered_A,2,True,completed,completed,True,True,0,0,0,0
e6_b03,heldout_registered_A,3,True,completed,completed,True,True,0,0,0,0
e6_b04,heldout_registered_A,1,True,completed,completed,True,True,0,0,0,0
e6_b04,heldout_registered_A,2,False,completed,failed,True,False,0,,,
e6_b04,heldout_registered_A,3,True,completed,completed,True,True,0,1,-1,0
e6_b05,heldout_registered_A,1,True,completed,completed,True,True,0,0,0,0
e6_b05,heldout_registered_A,2,True,completed,completed,True,True,0,0,0,0
e6_b05,heldout_registered_A,3,True,completed,completed,True,True,0,0,0,0
e6_b06,heldout_registered_A,1,True,completed,completed,True,True,0,1,-1,0
e6_b06,heldout_registered_A,2,True,completed,completed,True,True,0,0,0,0
e6_b06,heldout_registered_A,3,True,completed,completed,True,True,0,0,0,0
e6_b01,heldout_registered_B,1,True,completed,completed,True,True,0,0,0,0
e6_b01,heldout_registered_B,2,True,completed,completed,True,True,0,0,0,0
e6_b01,heldout_registered_B,3,True,completed,completed,True,True,0,1,-1,0
e6_b02,heldout_registered_B,1,True,completed,completed,True,True,0,0,0,0
e6_b02,heldout_registered_B,2,True,completed,completed,True,True,0,1,-1,0
e6_b02,heldout_registered_B,3,True,completed,completed,True,True,0,1,-1,0
e6_b03,heldout_registered_B,1,True,completed,completed,True,False,0,0,0,1
e6_b03,heldout_registered_B,2,True,completed,completed,True,True,0,0,0,0
e6_b03,heldout_registered_B,3,True,completed,completed,True,True,0,1,-1,0
e6_b04,heldout_registered_B,1,False,completed,failed,True,False,0,,,
e6_b04,heldout_registered_B,2,True,completed,completed,True,True,0,0,0,0
e6_b04,heldout_registered_B,3,True,completed,completed,True,True,0,1,-1,0
e6_b05,heldout_registered_B,1,True,completed,completed,True,True,0,1,-1,0
e6_b05,heldout_registered_B,2,True,completed,completed,True,True,0,0,0,0
e6_b05,heldout_registered_B,3,True,completed,completed,True,True,0,0,0,0
e6_b06,heldout_registered_B,1,True,completed,completed,True,True,0,1,-1,0
e6_b06,heldout_registered_B,2,True,completed,completed,True,True,0,0,0,0
e6_b06,heldout_registered_B,3,True,completed,completed,True,True,0,0,0,0
