topology,condition,defense,episodes,failed_or_blocked,privacy_complete_episodes,success,privacy_safe_success,raw_exposure,external_exposure,exposure_recipient_pairs,intervention_count,blocks,rewrites,quarantines,source_raw_exposure,source_external_exposure,generated_raw_exposure,generated_external_exposure,llm_calls,input_tokens,output_tokens,llm_latency_ms,mediator_latency_ms,e2e_latency_ms
blackboard_4,attack,flowfence_lite_nonoracle,12,0,12,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1498.5833333333333,1155.1666666666667,24117.57551894213,1.6995081666666667,24125.61412388459
blackboard_4,attack,ifc_safeview,12,0,12,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1503.5833333333333,1195.9166666666667,24677.945285414655,0.37026299999999995,24685.079590572666
blackboard_4,attack,none,12,1,11,0.9166666666666666,0.0,17.09090909090909,1.0909090909090908,12.0,0.0,0.0,0.0,0.0,16.0,1.0,1.0909090909090908,0.09090909090909091,2.8333333333333335,1434.5833333333333,1173.8333333333333,23684.11811736102,1.3675161666666666,23691.36078081404
blackboard_4,clean,flowfence_lite_nonoracle,12,0,12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1396.3333333333333,1137.1666666666667,22982.500885923702,1.3685265833333333,22989.583718435217
blackboard_4,clean,ifc_safeview,12,0,12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1398.5833333333333,1117.6666666666667,22774.4116463388,0.21515058333333334,22781.320805040497
blackboard_4,clean,none,12,0,12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1390.0833333333333,1081.75,23216.104570621002,1.25784425,23222.872478577
chain_4,attack,flowfence_lite_nonoracle,12,0,12,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1413.75,1098.5833333333333,22030.38958258306,1.1303704166666666,22036.571246416617
chain_4,attack,ifc_safeview,12,0,12,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1415.25,1105.3333333333333,22996.48771295324,0.31739091666666663,23001.94895531361
chain_4,attack,none,12,2,10,0.75,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.6666666666666665,1260.5,1241.1666666666667,26837.03495049849,0.78652,26842.752575253446
chain_4,clean,flowfence_lite_nonoracle,12,0,12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1362.3333333333333,1101.3333333333333,23368.047959326457,0.9659078333333333,23374.415090462815
chain_4,clean,ifc_safeview,12,0,12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1352.0833333333333,1057.1666666666667,22459.344838435452,0.15275641666666667,22464.942109460633
chain_4,clean,none,12,0,12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1355.4166666666667,1073.0833333333333,21513.727193543065,0.9139225833333333,21520.51705867052
