topology,condition,metric,matched,better,tie,worse,unavailable,mean_papc_minus_ifc,task_clusters,exact_sign_test_cluster_p
chain_4,clean,success,12,0,12,0,0,0.0,12,1.0
chain_4,clean,privacy_safe_success,12,0,12,0,0,0.0,12,1.0
chain_4,clean,raw_exposure,12,0,12,0,0,-0.0,12,1.0
chain_4,clean,external_exposure,12,0,12,0,0,-0.0,12,1.0
chain_4,clean,exposure_recipient_pairs,12,0,12,0,0,-0.0,12,1.0
chain_4,clean,intervention_count,12,0,12,0,0,-0.0,12,1.0
chain_4,clean,blocks,12,0,12,0,0,-0.0,12,1.0
chain_4,attack,success,12,0,12,0,0,0.0,12,1.0
chain_4,attack,privacy_safe_success,12,0,12,0,0,0.0,12,1.0
chain_4,attack,raw_exposure,12,0,12,0,0,-0.0,12,1.0
chain_4,attack,external_exposure,12,0,12,0,0,-0.0,12,1.0
chain_4,attack,exposure_recipient_pairs,12,0,12,0,0,-0.0,12,1.0
chain_4,attack,intervention_count,12,0,12,0,0,-0.0,12,1.0
chain_4,attack,blocks,12,0,12,0,0,-0.0,12,1.0
blackboard_4,clean,success,12,0,12,0,0,0.0,12,1.0
blackboard_4,clean,privacy_safe_success,12,0,12,0,0,0.0,12,1.0
blackboard_4,clean,raw_exposure,12,0,12,0,0,-0.0,12,1.0
blackboard_4,clean,external_exposure,12,0,12,0,0,-0.0,12,1.0
blackboard_4,clean,exposure_recipient_pairs,12,0,12,0,0,-0.0,12,1.0
blackboard_4,clean,intervention_count,12,0,12,0,0,-0.0,12,1.0
blackboard_4,clean,blocks,12,0,12,0,0,-0.0,12,1.0
blackboard_4,attack,success,12,0,12,0,0,0.0,12,1.0
blackboard_4,attack,privacy_safe_success,12,0,12,0,0,0.0,12,1.0
blackboard_4,attack,raw_exposure,12,0,12,0,0,-0.0,12,1.0
blackboard_4,attack,external_exposure,12,0,12,0,0,-0.0,12,1.0
blackboard_4,attack,exposure_recipient_pairs,12,0,12,0,0,-0.0,12,1.0
blackboard_4,attack,intervention_count,12,0,12,0,0,-0.0,12,1.0
blackboard_4,attack,blocks,12,0,12,0,0,-0.0,12,1.0
overall,overall,success,48,0,48,0,0,0.0,12,1.0
overall,overall,privacy_safe_success,48,0,48,0,0,0.0,12,1.0
overall,overall,raw_exposure,48,0,48,0,0,-0.0,12,1.0
overall,overall,external_exposure,48,0,48,0,0,-0.0,12,1.0
overall,overall,exposure_recipient_pairs,48,0,48,0,0,-0.0,12,1.0
overall,overall,intervention_count,48,0,48,0,0,-0.0,12,1.0
overall,overall,blocks,48,0,48,0,0,-0.0,12,1.0
