environment,task_id,eligibility,planning_evaluator_error
research,1,UNRESOLVED,
research,2,UNRESOLVED,
research,3,UNRESOLVED,
research,4,UNRESOLVED,
research,5,UNRESOLVED,
research,6,UNRESOLVED,
research,7,UNRESOLVED,
research,8,UNRESOLVED,
research,9,UNRESOLVED,
research,10,UNRESOLVED,
research,11,UNRESOLVED,
research,12,UNRESOLVED,
research,13,UNRESOLVED,
research,14,UNRESOLVED,
research,15,UNRESOLVED,
research,16,UNRESOLVED,
research,17,UNRESOLVED,
research,18,UNRESOLVED,
research,19,UNRESOLVED,
research,20,UNRESOLVED,
research,21,UNRESOLVED,
research,22,UNRESOLVED,
research,23,UNRESOLVED,
research,24,UNRESOLVED,
research,25,UNRESOLVED,
research,26,UNRESOLVED,
research,27,UNRESOLVED,
research,28,UNRESOLVED,
research,29,UNRESOLVED,
research,30,UNRESOLVED,
research,31,UNRESOLVED,
research,32,UNRESOLVED,
research,33,UNRESOLVED,
research,34,UNRESOLVED,
research,35,UNRESOLVED,
research,36,UNRESOLVED,
research,37,UNRESOLVED,
research,38,UNRESOLVED,
research,39,UNRESOLVED,
research,40,UNRESOLVED,
research,41,UNRESOLVED,
research,42,UNRESOLVED,
research,43,UNRESOLVED,
research,44,UNRESOLVED,
research,45,UNRESOLVED,
research,46,UNRESOLVED,
research,47,UNRESOLVED,
research,48,UNRESOLVED,
research,49,UNRESOLVED,
research,50,UNRESOLVED,
research,51,UNRESOLVED,
research,52,UNRESOLVED,
research,53,UNRESOLVED,
research,54,UNRESOLVED,
research,55,UNRESOLVED,
research,56,UNRESOLVED,
research,57,UNRESOLVED,
research,58,UNRESOLVED,
research,59,UNRESOLVED,
research,60,UNRESOLVED,
research,61,UNRESOLVED,
research,62,UNRESOLVED,
research,63,UNRESOLVED,
research,64,UNRESOLVED,
research,65,UNRESOLVED,
research,66,UNRESOLVED,
research,67,UNRESOLVED,
research,68,UNRESOLVED,
research,69,UNRESOLVED,
research,70,UNRESOLVED,
research,71,UNRESOLVED,
research,72,UNRESOLVED,
research,73,UNRESOLVED,
research,74,UNRESOLVED,
research,75,UNRESOLVED,
research,76,UNRESOLVED,
research,77,UNRESOLVED,
research,78,UNRESOLVED,
research,79,UNRESOLVED,
research,80,UNRESOLVED,
research,81,UNRESOLVED,
research,82,UNRESOLVED,
research,83,UNRESOLVED,
research,84,UNRESOLVED,
research,85,UNRESOLVED,
research,86,UNRESOLVED,
research,87,UNRESOLVED,
research,88,UNRESOLVED,
research,89,UNRESOLVED,
research,90,UNRESOLVED,
research,91,UNRESOLVED,
research,92,UNRESOLVED,
research,93,UNRESOLVED,
research,94,UNRESOLVED,
research,95,UNRESOLVED,
research,96,UNRESOLVED,
research,97,UNRESOLVED,
research,98,UNRESOLVED,
research,99,UNRESOLVED,
research,100,UNRESOLVED,
database,1,UNRESOLVED,
database,2,UNRESOLVED,
database,3,UNRESOLVED,
database,4,UNRESOLVED,
database,5,UNRESOLVED,
database,6,UNRESOLVED,
database,7,UNRESOLVED,
database,8,UNRESOLVED,
database,9,UNRESOLVED,
database,10,UNRESOLVED,
database,11,UNRESOLVED,
database,12,UNRESOLVED,
database,13,UNRESOLVED,
database,14,UNRESOLVED,
database,15,UNRESOLVED,
database,16,UNRESOLVED,
database,17,UNRESOLVED,
database,18,UNRESOLVED,
database,19,UNRESOLVED,
database,20,UNRESOLVED,
database,21,UNRESOLVED,
database,22,UNRESOLVED,
database,23,UNRESOLVED,
database,24,UNRESOLVED,
database,25,UNRESOLVED,
database,26,UNRESOLVED,
database,27,UNRESOLVED,
database,28,UNRESOLVED,
database,29,UNRESOLVED,
database,30,UNRESOLVED,
database,31,UNRESOLVED,
database,32,UNRESOLVED,
database,33,UNRESOLVED,
database,34,UNRESOLVED,
database,35,UNRESOLVED,
database,36,UNRESOLVED,
database,37,UNRESOLVED,
database,38,UNRESOLVED,
