environment,task_id,mock_executable,eligibility,reason
research,1,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,2,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,3,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,4,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,5,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,6,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,7,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,8,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,9,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,10,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,11,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,12,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,13,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,14,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,15,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,16,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,17,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,18,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,19,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,20,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,21,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,22,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,23,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,24,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,25,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,26,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,27,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,28,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,29,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,30,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,31,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,32,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,33,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,34,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,35,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,36,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,37,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,38,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,39,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,40,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,41,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,42,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,43,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,44,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,45,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,46,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,47,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,48,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,49,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,50,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,51,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,52,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,53,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,54,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,55,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,56,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,57,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,58,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,59,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,60,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,61,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,62,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,63,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,64,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,65,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,66,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,67,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,68,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,69,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,70,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,71,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,72,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,73,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,74,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,75,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,76,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,77,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,78,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,79,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,80,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,81,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,82,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,83,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,84,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,85,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,86,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,87,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,88,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,89,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,90,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,91,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,92,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,93,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,94,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,95,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,96,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,97,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,98,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,99,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
research,100,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
database,1,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
database,2,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
database,3,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
database,4,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
database,5,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
database,6,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
database,7,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
database,8,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
database,9,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
database,10,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
database,11,True,INELIGIBLE,ENVIRONMENT_GENERIC_CONTEXT_STATE_BOUNDARY_FAILURE
