task_id,condition,matched_completed_pairs,r2_completed,ifc_completed,r2_leak_rate_all_completed,ifc_leak_rate_all_completed,r2_paired_leak_rate,ifc_paired_leak_rate,paired_leak_difference,r2_task_success_rate,ifc_task_success_rate,task_success_difference,matched_task_success_difference
e6_b01,clean,3,3,3,0,0,0,0,0,1.0,1.0,0.0,0
e6_b02,clean,3,3,3,0,0,0,0,0,1.0,1.0,0.0,0
e6_b03,clean,3,3,3,0,0,0,0,0,1.0,1.0,0.0,0
e6_b04,clean,3,3,3,0,0,0,0,0,1.0,1.0,0.0,0
e6_b05,clean,3,3,3,0,0,0,0,0,1.0,1.0,0.0,0
e6_b06,clean,3,3,3,0,0,0,0,0,1.0,1.0,0.0,0
e6_b01,heldout_registered_A,3,3,3,0,0.6666666666666666,0,0.6666666666666666,-0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0
e6_b02,heldout_registered_A,3,3,3,0,0.3333333333333333,0,0.3333333333333333,-0.3333333333333333,0.6666666666666666,1.0,-0.33333333333333337,-0.3333333333333333
e6_b03,heldout_registered_A,3,3,3,0,0.3333333333333333,0,0.3333333333333333,-0.3333333333333333,1.0,1.0,0.0,0
e6_b04,heldout_registered_A,2,3,2,0,0.5,0,0.5,-0.5,1.0,0.6666666666666666,0.33333333333333337,0
e6_b05,heldout_registered_A,3,3,3,0,0,0,0,0,1.0,1.0,0.0,0
e6_b06,heldout_registered_A,3,3,3,0,0.3333333333333333,0,0.3333333333333333,-0.3333333333333333,1.0,1.0,0.0,0
e6_b01,heldout_registered_B,3,3,3,0,0.3333333333333333,0,0.3333333333333333,-0.3333333333333333,1.0,1.0,0.0,0
e6_b02,heldout_registered_B,3,3,3,0,0.6666666666666666,0,0.6666666666666666,-0.6666666666666666,1.0,1.0,0.0,0
e6_b03,heldout_registered_B,3,3,3,0,0.3333333333333333,0,0.3333333333333333,-0.3333333333333333,1.0,0.6666666666666666,0.33333333333333337,0.3333333333333333
e6_b04,heldout_registered_B,2,3,2,0,0.5,0,0.5,-0.5,1.0,0.6666666666666666,0.33333333333333337,0
e6_b05,heldout_registered_B,3,3,3,0,0.3333333333333333,0,0.3333333333333333,-0.3333333333333333,1.0,1.0,0.0,0
e6_b06,heldout_registered_B,3,3,3,0,0.3333333333333333,0,0.3333333333333333,-0.3333333333333333,1.0,1.0,0.0,0
