variant,metric,full_value,ablated_value,absolute_delta,relative_delta_if_defined,interpretation
NO_SEMANTIC_PATTERNS,task_success_rate,1.0,1.0,0.0,0.0,unchanged
NO_SEMANTIC_PATTERNS,raw_leakage_mean,0.0,1.5,1.5,,degraded
NO_SEMANTIC_PATTERNS,external_leakage_mean,0.0,0.0,0.0,,unchanged
NO_SEMANTIC_PATTERNS,cascade_size_mean,2.7,4.5,1.8,0.666667,degraded
NO_SEMANTIC_PATTERNS,cascade_depth_mean,2.7,3.5,0.8,0.296296,degraded
NO_SEMANTIC_PATTERNS,privilege_reach_mean,0.0,1.8,1.8,,degraded
NO_SEMANTIC_PATTERNS,safe_view_mean,0.6,0.6,0.0,0.0,unchanged
NO_SEMANTIC_PATTERNS,quarantine_mean,0.6,0.0,-0.6,-1.0,mixed
NO_SEMANTIC_PATTERNS,block_mean,0.3,0.3,0.0,0.0,unchanged
NO_SEMANTIC_PATTERNS,propagation_right_downgrade_mean,0.966667,0.966667,0.0,0.0,unchanged
NO_SAFE_VIEW,task_success_rate,1.0,1.0,0.0,0.0,unchanged
NO_SAFE_VIEW,raw_leakage_mean,0.0,0.0,0.0,,unchanged
NO_SAFE_VIEW,external_leakage_mean,0.0,0.0,0.0,,unchanged
NO_SAFE_VIEW,cascade_size_mean,2.7,2.7,0.0,0.0,unchanged
NO_SAFE_VIEW,cascade_depth_mean,2.7,2.7,0.0,0.0,unchanged
NO_SAFE_VIEW,privilege_reach_mean,0.0,0.0,0.0,,unchanged
NO_SAFE_VIEW,safe_view_mean,0.6,0.0,-0.6,-1.0,mixed
NO_SAFE_VIEW,quarantine_mean,0.6,0.6,0.0,0.0,unchanged
NO_SAFE_VIEW,block_mean,0.3,0.3,0.0,0.0,unchanged
NO_SAFE_VIEW,propagation_right_downgrade_mean,0.966667,0.966667,0.0,0.0,unchanged
NO_TOPOLOGY_FANOUT,task_success_rate,1.0,1.0,0.0,0.0,unchanged
NO_TOPOLOGY_FANOUT,raw_leakage_mean,0.0,0.0,0.0,,unchanged
NO_TOPOLOGY_FANOUT,external_leakage_mean,0.0,0.0,0.0,,unchanged
NO_TOPOLOGY_FANOUT,cascade_size_mean,2.7,2.7,0.0,0.0,unchanged
NO_TOPOLOGY_FANOUT,cascade_depth_mean,2.7,2.7,0.0,0.0,unchanged
NO_TOPOLOGY_FANOUT,privilege_reach_mean,0.0,0.0,0.0,,unchanged
NO_TOPOLOGY_FANOUT,safe_view_mean,0.6,0.6,0.0,0.0,unchanged
NO_TOPOLOGY_FANOUT,quarantine_mean,0.6,0.6,0.0,0.0,unchanged
NO_TOPOLOGY_FANOUT,block_mean,0.3,0.3,0.0,0.0,unchanged
NO_TOPOLOGY_FANOUT,propagation_right_downgrade_mean,0.966667,0.9,-0.066667,-0.068966,mixed
NO_PROPAGATION_RIGHT_NARROWING,task_success_rate,1.0,1.0,0.0,0.0,unchanged
NO_PROPAGATION_RIGHT_NARROWING,raw_leakage_mean,0.0,0.0,0.0,,unchanged
NO_PROPAGATION_RIGHT_NARROWING,external_leakage_mean,0.0,0.0,0.0,,unchanged
NO_PROPAGATION_RIGHT_NARROWING,cascade_size_mean,2.7,2.7,0.0,0.0,unchanged
NO_PROPAGATION_RIGHT_NARROWING,cascade_depth_mean,2.7,2.7,0.0,0.0,unchanged
NO_PROPAGATION_RIGHT_NARROWING,privilege_reach_mean,0.0,0.0,0.0,,unchanged
NO_PROPAGATION_RIGHT_NARROWING,safe_view_mean,0.6,0.6,0.0,0.0,unchanged
NO_PROPAGATION_RIGHT_NARROWING,quarantine_mean,0.6,0.6,0.0,0.0,unchanged
NO_PROPAGATION_RIGHT_NARROWING,block_mean,0.3,0.3,0.0,0.0,unchanged
NO_PROPAGATION_RIGHT_NARROWING,propagation_right_downgrade_mean,0.966667,0.0,-0.966667,-1.0,mixed
