variant,topology,runs,task_success_rate,raw_leakage_mean,external_leakage_mean,cascade_size_mean,cascade_depth_mean,privilege_reach_mean,safe_view_mean,quarantine_mean,block_mean,allow_mean,propagation_right_downgrade_mean,acl_block_mean,runtime_content_block_mean,final_content_block_mean,oracle_annotation_use_count,provider_call_count
FULL,blackboard_4,30,1.0,0.0,0.0,2.7,2.7,0.0,0.6,0.6,0.3,2.4,1.0,0.0,0.0,0.0,0,0
FULL,chain_4,30,1.0,0.0,0.0,2.7,2.7,0.0,0.6,0.6,0.3,2.3,0.9,0.0,0.0,0.0,0,0
FULL,star_4,30,1.0,0.0,0.0,2.7,2.7,0.0,0.6,0.6,0.3,2.3,1.0,0.0,0.0,0.0,0,0
NO_PROPAGATION_RIGHT_NARROWING,blackboard_4,30,1.0,0.0,0.0,2.7,2.7,0.0,0.6,0.6,0.3,2.5,0.0,0.0,0.0,0.0,0,0
NO_PROPAGATION_RIGHT_NARROWING,chain_4,30,1.0,0.0,0.0,2.7,2.7,0.0,0.6,0.6,0.3,2.3,0.0,0.0,0.0,0.0,0,0
NO_PROPAGATION_RIGHT_NARROWING,star_4,30,1.0,0.0,0.0,2.7,2.7,0.0,0.6,0.6,0.3,2.4,0.0,0.0,0.0,0.0,0,0
NO_SAFE_VIEW,blackboard_4,30,1.0,0.0,0.0,2.7,2.7,0.0,0.0,0.6,0.3,2.4,1.0,0.0,0.0,0.0,0,0
NO_SAFE_VIEW,chain_4,30,1.0,0.0,0.0,2.7,2.7,0.0,0.0,0.6,0.3,2.3,0.9,0.0,0.0,0.0,0,0
NO_SAFE_VIEW,star_4,30,1.0,0.0,0.0,2.7,2.7,0.0,0.0,0.6,0.3,2.3,1.0,0.0,0.0,0.0,0,0
NO_SEMANTIC_PATTERNS,blackboard_4,30,1.0,1.5,0.0,5.1,3.3,1.8,0.6,0.0,0.3,4.8,1.0,0.0,0.0,0.0,0,0
NO_SEMANTIC_PATTERNS,chain_4,30,1.0,1.5,0.0,3.9,3.9,1.8,0.6,0.0,0.3,3.5,0.9,0.0,0.0,0.0,0,0
NO_SEMANTIC_PATTERNS,star_4,30,1.0,1.5,0.0,4.5,3.3,1.8,0.6,0.0,0.3,4.1,1.0,0.0,0.0,0.0,0,0
NO_TOPOLOGY_FANOUT,blackboard_4,30,1.0,0.0,0.0,2.7,2.7,0.0,0.6,0.6,0.3,2.5,0.9,0.0,0.0,0.0,0,0
NO_TOPOLOGY_FANOUT,chain_4,30,1.0,0.0,0.0,2.7,2.7,0.0,0.6,0.6,0.3,2.3,0.9,0.0,0.0,0.0,0,0
NO_TOPOLOGY_FANOUT,star_4,30,1.0,0.0,0.0,2.7,2.7,0.0,0.6,0.6,0.3,2.4,0.9,0.0,0.0,0.0,0,0
