defense_label,topology,runs,task_success_rate,raw_leakage_mean,external_leakage_mean,cascade_size_mean,cascade_depth_mean,privilege_reach_mean,safe_view_mean,quarantine_mean,block_mean,allow_mean,propagation_right_downgrade_mean,acl_block_mean,runtime_content_block_mean,final_content_block_mean,oracle_annotation_use_count,provider_call_count
ACL_CONTENT_RUNTIME,blackboard_4,30,0.4,4.7,0.5,5.1,3.3,1.8,0.0,0.0,1.5,4.3,0.0,1.2,0.3,0.0,0,0
ACL_CONTENT_RUNTIME,chain_4,30,0.4,1.0,0.0,3.9,3.9,1.8,0.0,0.0,2.1,2.3,0.0,1.8,0.3,0.0,0,0
ACL_CONTENT_RUNTIME,star_4,30,0.4,1.0,0.0,4.5,3.3,1.8,0.0,0.0,2.7,2.4,0.0,2.4,0.3,0.0,0,0
FLOWFENCE_NONORACLE,blackboard_4,30,1.0,0.0,0.0,2.7,2.7,0.0,0.6,0.6,0.3,2.4,1.0,0.0,0.0,0.0,0,0
FLOWFENCE_NONORACLE,chain_4,30,1.0,0.0,0.0,2.7,2.7,0.0,0.6,0.6,0.3,2.3,0.9,0.0,0.0,0.0,0,0
FLOWFENCE_NONORACLE,star_4,30,1.0,0.0,0.0,2.7,2.7,0.0,0.6,0.6,0.3,2.3,1.0,0.0,0.0,0.0,0,0
PROMPT_FILTER,blackboard_4,30,0.4,9.5,1.7,5.1,3.3,3.0,0.3,0.3,0.0,5.5,0.0,0.0,0.0,0.0,0,0
PROMPT_FILTER,chain_4,30,0.4,6.2,1.2,3.9,3.9,3.0,0.3,0.3,0.0,4.1,0.0,0.0,0.0,0.0,0,0
PROMPT_FILTER,star_4,30,0.4,7.9,1.7,4.5,3.3,3.0,0.3,0.3,0.0,4.8,0.0,0.0,0.0,0.0,0,0
STATIC_ACL,blackboard_4,30,1.0,7.1,0.8,6.3,3.6,4.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0
STATIC_ACL,chain_4,30,1.0,2.1,0.0,4.5,4.5,4.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0
STATIC_ACL,star_4,30,1.0,4.7,0.8,5.4,3.6,4.5,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0,0
